ticket_id,ticket_text,category,priority,created_at,resolution_time_hours,resolved_at,cleaned_text
TKT-3915,"escalating this - my desktop machine - python import error for numpy on my work machine, need this fixed today",Software,Critical,2024-02-12 12:07:00,3.68,2024-02-12 15:47:48.000000000,escal desktop machin python import error numpi work machin need fix today
TKT-1425,"paper jam in HP LaserJet in conference room A, cleared it but keeps happening, kindly resolve this",Hardware,Medium,2024-02-08 21:36:00,25.81,2024-02-09 23:24:36.000000000,paper jam hp laserjet confer room clear keep happen kindli resolv
TKT-2831,"account disabled by mistake, cannot login to anything",Access/Login,Medium,2024-01-27 16:17:00,5.55,2024-01-27 21:50:00.000000000,account disabl mistak cannot login anyth
TKT-1664,"at your convenience, all users in wing west - emails bouncing back with error ERR_CONNECTION_RESET",Email,Low,2024-01-26 12:12:00,49.27,2024-01-28 13:28:12.000000000,conveni user wing west email bounc back error err connect reset
TKT-0788,network share \\WEBSVR-02\Reports giving access denied to ops team,Network,High,2024-02-05 12:11:00,5.53,2024-02-05 17:42:48.000000000,network share websvr num report give access deni op team
TKT-0950,"at your convenience, switch port in wing B appears dead, no link light, please look ino it",Network,Low,2024-02-06 15:19:00,4.18,2024-02-06 19:29:48.000000000,conveni switch port wing appear dead link light pleas look ino
TKT-0297,replication lag between primary and standby on FSRV-02 is 3 mins,Database,Low,2024-04-04 14:34:00,81.05,2024-04-07 23:37:00.000000000,replic lag primari standbi fsrv num num min
TKT-3451,"statisics on HR_DB outdated, query plans are inefficient",Database,Medium,2024-03-10 09:07:00,25.5,2024-03-11 10:37:00.000000000,statis hr db outdat queri plan ineffici
TKT-1835,"hcrome not launching at all, task manager shows it running, please help asap",Software,Medium,2024-01-27 07:08:00,45.38,2024-01-29 04:30:48.000000000,hcrome launch task manag show run pleas help asap
TKT-1472,"projector in server room not displaying, important presentation in 20 mins, pleaes help asap",Hardware,Medium,2024-01-23 19:31:00,37.64,2024-01-25 09:09:24.000000000,projector server room display import present num min pleae help asap
TKT-0497,"our entire team - office phone handset not working, no dial tone",Hardware,Medium,2024-02-15 01:57:00,11.54,2024-02-15 13:29:24.000000000,entir team offic phone handset work dial tone
TKT-1300,not urgent - out of office message not activating despite being set correctly,Email,Low,2024-02-12 02:58:00,16.31,2024-02-12 19:16:36.000000000,urgent offic messag activ despit set correctli
TKT-1469,everyone in the sales department - laptop screen flickering and sometimes goes compeltely black,Hardware,Medium,2024-03-12 10:46:00,13.56,2024-03-13 00:19:36.000000000,everyon sale depart laptop screen flicker sometim goe compelt black
TKT-2529,"business impacted - outlook extremely slow when opening, takes 20 minutes to load",Email,High,2024-03-22 07:40:00,12.33,2024-03-22 19:59:48.000000000,busi impact outlook extrem slow open take num minut load
TKT-2473,"whenever ou get a chance, inbox rules stopped working, emails landing in wrong folders",Email,Low,2024-03-12 11:58:00,27.36,2024-03-13 15:19:36.000000000,whenev ou get chanc inbox rule stop work email land wrong folder
TKT-3177,"need accss to Salesforce for audit team, approved by manager, please escalate if needed",Access/Login,Low,2024-03-25 16:52:00,16.95,2024-03-26 09:49:00.000000000,need accss salesforc audit team approv manag pleas escal need
TKT-1746,"teams stuck on grye loading screen, cannot join standup, need this fixed today",Software,Low,2024-03-04 17:59:00,39.61,2024-03-06 09:35:36.000000000,team stuck grye load screen cannot join standup need fix today
TKT-0223,"several users on my floor - projector in wing B not displaying, important presentation in 30 mins",Hardware,Medium,2024-03-06 19:16:00,25.76,2024-03-07 21:01:36.000000000,sever user floor projector wing display import present num min
TKT-1900,"hdmi monitor shows no signal after seep mode, any heelp appreciated",Hardware,Low,2024-01-12 10:47:00,23.41,2024-01-13 10:11:36.000000000,hdmi monitor show signal seep mode heelp appreci
TKT-0811,"remote ddesktop to WEBSVR-02 fails with ERR_CONNECTION_RESET, cannoot access my work machine",Network,Critical,2024-01-08 08:44:00,2.77,2024-01-08 11:30:12.000000000,remot ddesktop websvr num fail err connect reset cannoot access work machin
TKT-1754,"tams stuck on grey loading screen, cannot join standup",Software,Low,2024-03-20 07:11:00,43.07,2024-03-22 02:15:12.000000000,tam stuck grey load screen cannot join standup
TKT-1961,"not urgent - my desktop macchine - outlook not receiving any new emails from this morning randomly, tried restarting but no luck",Email,Low,2024-03-03 09:52:00,25.63,2024-03-04 11:29:48.000000000,urgent desktop macchin outlook receiv new email morn randomli tri restart luck
TKT-3859,business impacted - right click context menu extremely slow to appear on desktop,Software,High,2024-03-11 12:06:00,15.29,2024-03-12 03:23:23.999999999,busi impact right click context menu extrem slow appear desktop
TKT-1010,"pvn not conncting since yesterday afternoon, error timeout keeps showing, thanks in advance",Network,High,2024-02-18 12:29:00,6.98,2024-02-18 19:27:48.000000000,pvn connct sinc yesterday afternoon error timeout keep show thank advanc
TKT-2563,"start menu search not woring after cumulative update, tried restarting but no luck",Software,Medium,2024-03-14 14:26:00,61.24,2024-03-17 03:40:24.000000000,start menu search wore cumul updat tri restart luck
TKT-0365,"i - vpn software and antivirus conflicting, one crashes the other",Software,Medium,2024-03-06 09:54:00,34.24,2024-03-07 20:08:24.000000000,vpn softwar antiviru conflict one crash
TKT-3293,scanner in conference room A not detected after driver update,Hardware,High,2024-02-28 07:21:00,9.85,2024-02-28 17:12:00.000000000,scanner confer room detect driver updat
TKT-0310,"production is down - mouse pointeer freezing every few minutes, tried different usb port",Hardware,High,2024-01-20 08:27:00,23.99,2024-01-21 08:26:24.000000000,product mous pointeer freez everi minut tri differ usb port
TKT-2652,brcode scanner at reception stopped working after the windows patch,Hardware,Medium,2024-02-13 18:15:00,11.23,2024-02-14 05:28:48.000000000,brcode scanner recept stop work window patch
TKT-2295,connected to wifi but no internet access on my machine,Network,Medium,2024-02-03 15:34:00,19.12,2024-02-04 10:41:12.000000000,connect wifi internet access machin
TKT-2528,"at your convenience, my desktop machine - laptop battery drains in 80 hours even when plugged in, this is blocking my work",Hardware,Low,2024-03-28 15:26:00,31.03,2024-03-29 22:27:48.000000000,conveni desktop machin laptop batteri drain num hour even plug block work
TKT-2513,"paper jam in Canon printer in wing B, cleared it but keeps happening",Hardware,Low,2024-01-17 17:53:00,39.25,2024-01-19 09:08:00.000000000,paper jam canon printer wing clear keep happen
TKT-1229,"critical issue - numpad not working after cffee spill on keyboard yesterday, any help appreciated",Hardware,High,2024-04-01 09:10:00,15.01,2024-04-02 00:10:36.000000000,critic issu numpad work cffee spill keyboard yesterday help appreci
TKT-0678,"netwwork switch in server room rebooted itslef, connectivity olst for 15 users",Network,Low,2024-02-20 17:22:00,21.29,2024-02-21 14:39:23.999999999,netwwork switch server room reboot itslef connect olst num user
TKT-0132,"chrome not launching at all, task manager shows it running",Software,Low,2024-03-31 09:56:00,31.13,2024-04-01 17:03:48.000000000,chrome launch task manag show run
TKT-3070,"outlook extremely slow when opening, takes 80 minutes to load",Email,Medium,2024-02-17 00:56:00,11.41,2024-02-17 12:20:36.000000000,outlook extrem slow open take num minut load
TKT-3825,task scheduler job failing with 0x80070005 on SRV-01,Software,Low,2024-03-12 11:38:00,47.34,2024-03-14 10:58:24.000000000,task schedul job fail 0x80070005 srv num
TKT-1538,"the new joiner - software upgrade broke integration with Salesforce, urgent, please help asap",Software,High,2024-03-14 16:35:00,9.17,2024-03-15 01:45:12.000000000,new joiner softwar upgrad broke integr salesforc urgent pleas help asap
TKT-0478,"webcam not detected in teams and zoom on my laptop, please escalate if needed",Hardware,Low,2024-03-02 18:29:00,22.8,2024-03-03 17:17:00.000000000,webcam detect team zoom laptop pleas escal need
TKT-3267,"at your convenience, chrome not lanching at all, task manager shows it running",Software,Low,2024-01-23 21:45:00,17.98,2024-01-24 15:43:48.000000000,conveni chrome lanch task manag show run
TKT-0273,global address list not showing new employees added this week,Email,Medium,2024-01-12 08:09:00,15.39,2024-01-12 23:32:24.000000000,global address list show new employe ad week
TKT-2838,"software upgrade broke integration with Zoho, urgnet, this is blocking my work",Software,Low,2024-01-31 10:49:00,59.22,2024-02-02 22:02:12.000000000,softwar upgrad broke integr zoho urgnet block work
TKT-3821,"need temporary local admin rights to install Zoom, please look into it",Access/Login,Medium,2024-03-17 06:31:00,11.74,2024-03-17 18:15:24.000000000,need temporari local admin right instal zoom pleas look
TKT-3234,"need access to CRM for marketing team, approved by manager",Access/Login,Low,2024-01-16 09:40:00,16.99,2024-01-17 02:39:24.000000000,need access crm market team approv manag
TKT-1642,scheduled backup failed last night for HR_DB,Database,Low,2024-01-16 07:33:00,88.05,2024-01-19 23:36:00.000000000,schedul backup fail last night hr db
TKT-2756,all users in wing ground floor - Excel throws error 0x800f0954 on every launch since the update,Software,Low,2024-03-19 09:05:00,33.45,2024-03-20 18:32:00.000000000,user wing ground floor excel throw error 0x800f0954 everi launch sinc updat
TKT-3089,proxy settings blocking internal site on new laptop,Network,Medium,2024-02-26 08:29:00,12.76,2024-02-26 21:14:36.000000000,proxi set block intern site new laptop
TKT-2814,"whenever you get a chance, Teams crashes immediately on startup, reinstalling didnt hepl, please look ito it",Software,Low,2024-01-10 14:37:00,43.62,2024-01-12 10:14:12.000000000,whenev get chanc team crash immedi startup reinstal didnt hepl pleas look ito
TKT-0605,"REPORTING_DB storage 95 percent full, need expansion urgently",Database,Medium,2024-04-02 18:07:00,37.21,2024-04-04 07:19:36.000000000,report db storag num percent full need expans urgent
TKT-3415,python miport error for numpy on my work machine,Software,Medium,2024-02-03 16:14:00,23.13,2024-02-04 15:21:48.000000000,python miport error numpi work machin
TKT-2424,"everyone affectted - need access to Jira for finance team, approved by manager",Access/Login,High,2024-01-16 05:22:00,3.36,2024-01-16 08:43:36.000000000,everyon affect need access jira financ team approv manag
TKT-3046,critical issue - AutoCAD using 99 percent cpu making laptop unusable,Software,High,2024-04-04 06:28:00,15.5,2024-04-04 21:58:00.000000000,critic issu autocad use num percent cpu make laptop unus
TKT-2883,database link between SRV-01 and HR_DB broken after network change,Database,Medium,2024-02-26 10:55:00,64.86,2024-02-29 03:46:36.000000000,databas link srv num hr db broken network chang
TKT-3519,everyone affected - several users on my floor - vpn disconnects automatically after 50 miutes of idle time,Network,High,2024-02-26 00:38:00,6.03,2024-02-26 06:39:48.000000000,everyon affect sever user floor vpn disconnect automat num miut idl time
TKT-0442,"headphone jack on laptop boken, needed or client clals, this is blocking my work",Hardware,Low,2024-01-22 00:06:00,41.06,2024-01-23 17:09:36.000000000,headphon jack laptop boken need client clal block work
TKT-3868,"urgent - table reports in REPORTING_DB is locked, blocking all other queries, this is blocking my work",Database,High,2024-01-30 11:37:00,46.7,2024-02-01 10:19:00.000000000,urgent tabl report report db lock block queri block work
TKT-0313,i - laptop screen flickering ad sometimes goes completely black,Hardware,Medium,2024-01-28 23:02:00,48.21,2024-01-30 23:14:36.000000000,laptop screen flicker ad sometim goe complet black
TKT-0299,"whenever yuo get a chance, fingerprint login broken after windows update, have to type password",Access/Login,Low,2024-03-18 08:24:00,5.94,2024-03-18 14:20:24.000000000,whenev yuo get chanc fingerprint login broken window updat type password
TKT-2740,"not urgent - cannot ping WEBSVR-02 from my laptop, 100 percent packet loss",Network,Low,2024-02-27 18:09:00,31.41,2024-02-29 01:33:36.000000000,urgent cannot ping websvr num laptop num percent packet loss
TKT-2690,"the nw joiner - network share \\DC01\Design giving access denied to ops team, any help appreciated",Network,Low,2024-02-22 09:37:00,8.39,2024-02-22 18:00:24.000000000,nw joiner network share dc01 design give access deni op team help appreci
TKT-0007,"teams stuck on grey loading screen, cannot join standup",Software,Medium,2024-03-16 09:37:00,37.89,2024-03-17 23:30:24.000000000,team stuck grey load screen cannot join standup
TKT-2231,"paper jam in HP LaserJet in reception area, cleared it but keeps happening",Hardware,Low,2024-02-06 15:03:00,43.71,2024-02-08 10:45:36.000000000,paper jam hp laserjet recept area clear keep happen
TKT-0172,"at your convenience, the new joiner - site-to-site vpn tunnel keeps dropping, productiion systems unreachable",Network,Low,2024-02-22 16:17:00,21.52,2024-02-23 13:48:12.000000000,conveni new joiner site site vpn tunnel keep drop productiion system unreach
TKT-0049,"i - word doocument not saving, losing work repeatedly, any help appreciated",Software,Medium,2024-03-09 07:28:00,47.23,2024-03-11 06:41:48.000000000,word doocument save lose work repeatedli help appreci
TKT-0669,laptop battery drains in 2 hours even when plugged in,Hardware,Medium,2024-02-03 10:52:00,19.47,2024-02-04 06:20:12.000000000,laptop batteri drain num hour even plug
TKT-1013,"everyone affected - me and two colleagues - computer not turning on, no lights no fan no response",Hardware,High,2024-02-19 11:30:00,9.82,2024-02-19 21:19:12.000000000,everyon affect two colleagu comput turn light fan respons
TKT-2669,our entire taem - zoom freezes after 100 minutes on video calls,Software,Medium,2024-02-27 17:38:00,35.71,2024-02-29 05:20:36.000000000,entir taem zoom freez num minut video call
TKT-1274,"colleague Amit left, please transfer their Reports folder access to me",Access/Login,Medium,2024-02-28 17:31:00,9.29,2024-02-29 02:48:23.999999999,colleagu amit left pleas transfer report folder access
TKT-1076,"no rush but my desktop machine - role changed to marketing manaager, need additional permissions in CRM",Access/Login,Low,2024-02-05 15:25:00,13.14,2024-02-06 04:33:24.000000000,rush desktop machin role chang market manaag need addit permiss crm
TKT-0243,"whenever you get a chance, paper jam in reception printer in conference room A, cleared it but keeps happening, please help asap",Hardware,Low,2024-01-28 23:24:00,17.82,2024-01-29 17:13:12.000000000,whenev get chanc paper jam recept printer confer room clear keep happen pleas help asap
TKT-0356,"business impacted - our entire team - emails from Divya going to junk even after whitelist, this is blocking my work",Email,Critical,2024-02-23 14:30:00,4.39,2024-02-23 18:53:24.000000000,busi impact entir team email divya go junk even whitelist block work
TKT-3769,i - need temporary local aadmin rights to install Chrome,Access/Login,High,2024-03-06 17:02:00,5.8,2024-03-06 22:50:00.000000000,need temporari local aadmin right instal chrome
TKT-0766,"whenever you get a chance, vendor Vikrram needs temporary guest wifi and Confluence access for 2 days",Access/Login,Low,2024-01-08 13:12:00,5.88,2024-01-08 19:04:48.000000000,whenev get chanc vendor vikrram need temporari guest wifi confluenc access num day
TKT-2004,wifi password wwas reset and now 50 users in wing C cannot connect,Network,High,2024-03-05 16:16:00,6.64,2024-03-05 22:54:24.000000000,wifi password wwa reset num user wing cannot connect
TKT-1804,"several users on my floor - headphone jack on laptop broken, needed for client calls",Hardware,Medium,2024-03-10 11:56:00,20.37,2024-03-11 08:18:12.000000000,sever user floor headphon jack laptop broken need client call
TKT-1979,i and my manager - wireless access piont in cafeteria ot broadcasting ssid,Network,Low,2024-03-13 07:05:00,33.8,2024-03-14 16:53:00.000000000,manag wireless access piont cafeteria ot broadcast ssid
TKT-0553,software installation failing with error 401,Software,Low,2024-01-23 12:34:00,60.8,2024-01-26 01:22:00.000000000,softwar instal fail error num
TKT-1391,"teams stuck on gey loading screen, cannot join standup",Software,Low,2024-04-01 09:27:00,41.27,2024-04-03 02:43:12.000000000,team stuck gey load screen cannot join standup
TKT-3592,"database certificate expiring in 80 days, renewal needed",Database,Medium,2024-02-06 01:14:00,82.28,2024-02-09 11:30:48.000000000,databas certif expir num day renew need
TKT-2737,"whole team blocked - i and my manager - bulk email to procurement bounced for 2 recipients, tried restarting but no luck",Email,High,2024-01-23 13:04:00,5.48,2024-01-23 18:32:48.000000000,whole team block manag bulk email procur bounc num recipi tri restart luck
TKT-0541,busienss impacted - applictaion cannot connect to HR_DB from SRV-01 since this morning,Database,High,2024-04-05 16:11:00,12.22,2024-04-06 04:24:12.000000000,busienss impact applictaion cannot connect hr db srv num sinc morn
TKT-3530,"my workstation - outlook prompting for password every few minutes, thanks in advance",Email,Low,2024-02-20 04:09:00,22.95,2024-02-21 03:06:00.000000000,workstat outlook prompt password everi minut thank advanc
TKT-2137,"right click context menu extremely slow to appear on desktop, kindly resolve this",Software,High,2024-02-05 08:56:00,19.88,2024-02-06 04:48:48.000000000,right click context menu extrem slow appear desktop kindli resolv
TKT-3554,"need SRV-01 whitelisted on firewall, currently blocked, kindly resolve this",Network,Medium,2024-02-23 08:42:00,6.07,2024-02-23 14:46:12.000000000,need srv num whitelist firewal current block kindli resolv
TKT-3429,not urgent - forgot windows password and machine is now locked,Access/Login,Low,2024-03-31 08:31:00,25.43,2024-04-01 09:56:48.000000000,urgent forgot window password machin lock
TKT-3189,"ll users in wing ground floor - new employee starting monday, need ERP nd email access ready",Access/Login,High,2024-01-20 14:27:00,3.47,2024-01-20 17:55:12.000000000,user wing ground floor new employe start monday need erp nd email access readi
TKT-0688,"spacebar and enter key sticking on my keyboard, urgent please",Hardware,Medium,2024-04-02 14:38:00,43.7,2024-04-04 10:20:00.000000000,spacebar enter key stick keyboard urgent pleas
TKT-1791,urgent - my laptop - docking station not ddetecting second monitor since last week,Hardware,High,2024-03-16 16:13:00,6.18,2024-03-16 22:23:48.000000000,urgent laptop dock station ddetect second monitor sinc last week
TKT-1129,hdmi monitor shows no signal after sleep mode,Hardware,Low,2024-03-05 17:53:00,32.65,2024-03-07 02:32:00.000000000,hdmi monitor show signal sleep mode
TKT-3355,"escalating this - calendar invite not appearing in other persons calendar, this is blocking my work",Email,High,2024-02-20 16:09:00,6.97,2024-02-20 23:07:12.000000000,escal calendar invit appear person calendar block work
TKT-2266,"laptop randomly shuts off during meetingss, very disruptive",Hardware,Medium,2024-01-18 15:19:00,32.91,2024-01-20 00:13:36.000000000,laptop randomli shut meetingss disrupt
